11:21:55 Script sOpenNBUY EURUSD,H1: loaded successfully
11:22:17 sOpenNBUY EURUSD,H1 inputs: TR_S===== TRADING ======================; TR_TwiseLots=20.0; TR_MN=0; TR_E====================================; Kol=10; Lot=0.01; TP=11; 
11:22:18 sOpenNBUY EURUSD,H1: initialized
11:22:18 sOpenNBUY EURUSD,H1: open #53218671 buy 0.10 EURUSD at 1.3736 ok
11:22:18 sOpenNBUY EURUSD,H1: modify #53218671 buy 0.10 EURUSD at 1.3736 sl: 0.0000 tp: 1.3747 ok
11:22:18 sOpenNBUY EURUSD,H1: open #53218672 buy 0.10 EURUSD at 1.3736 ok
11:22:19 sOpenNBUY EURUSD,H1: modify #53218672 buy 0.10 EURUSD at 1.3736 sl: 0.0000 tp: 1.3747 ok
11:22:19 sOpenNBUY EURUSD,H1: open #53218673 buy 0.10 EURUSD at 1.3736 ok
11:22:20 sOpenNBUY EURUSD,H1: modify #53218673 buy 0.10 EURUSD at 1.3736 sl: 0.0000 tp: 1.3747 ok
11:22:20 sOpenNBUY EURUSD,H1: open #53218674 buy 0.10 EURUSD at 1.3736 ok
11:22:20 sOpenNBUY EURUSD,H1: modify #53218674 buy 0.10 EURUSD at 1.3736 sl: 0.0000 tp: 1.3747 ok
11:22:21 sOpenNBUY EURUSD,H1: open #53218675 buy 0.10 EURUSD at 1.3735 ok
11:22:21 sOpenNBUY EURUSD,H1: modify #53218675 buy 0.10 EURUSD at 1.3735 sl: 0.0000 tp: 1.3746 ok
11:22:22 sOpenNBUY EURUSD,H1: open #53218676 buy 0.10 EURUSD at 1.3735 ok
11:22:23 sOpenNBUY EURUSD,H1: modify #53218676 buy 0.10 EURUSD at 1.3735 sl: 0.0000 tp: 1.3746 ok
11:22:24 sOpenNBUY EURUSD,H1: open #53218677 buy 0.10 EURUSD at 1.3735 ok
11:22:25 sOpenNBUY EURUSD,H1: modify #53218677 buy 0.10 EURUSD at 1.3735 sl: 0.0000 tp: 1.3746 ok
11:22:25 sOpenNBUY EURUSD,H1: open #53218679 buy 0.10 EURUSD at 1.3735 ok
11:22:26 sOpenNBUY EURUSD,H1: modify #53218679 buy 0.10 EURUSD at 1.3735 sl: 0.0000 tp: 1.3746 ok
11:22:26 sOpenNBUY EURUSD,H1: open #53218680 buy 0.10 EURUSD at 1.3735 ok
11:22:26 sOpenNBUY EURUSD,H1: modify #53218680 buy 0.10 EURUSD at 1.3735 sl: 0.0000 tp: 1.3746 ok
11:22:28 sOpenNBUY EURUSD,H1: open #53218681 buy 0.10 EURUSD at 1.3735 ok
11:22:29 sOpenNBUY EURUSD,H1: modify #53218681 buy 0.10 EURUSD at 1.3735 sl: 0.0000 tp: 1.3746 ok
11:22:29 sOpenNBUY EURUSD,H1: uninit reason 0
11:22:29 Script sOpenNBUY EURUSD,H1: removed
14:39:19 Script sOpenNBUY EURAUD,Daily: loaded successfully
14:39:22 Script sOpenNBUY EURAUD,Daily: removed
14:40:02 Compiling 'sOpenNBUY_'
14:40:03 Compiling 'sOpenNSELL_'
14:40:12 Script sOpenNBUY EURAUD,Daily: loaded successfully
14:40:14 Script sOpenNBUY EURAUD,Daily: removed
22:45:49 Expert eTH EURAUD,Daily: loaded successfully
22:46:02 eTH EURAUD,Daily inputs: TR_S===== TRADING ======================; TR_TwiseLots=20.0; TR_MN=0; TR_E====================================; 
22:46:02 eTH EURAUD,Daily: initialized
22:46:09 eTH EURAUD,Daily: uninit reason 1
22:46:09 Expert eTH EURAUD,Daily: removed
23:31:37 Expert eTH EURAUD,Daily: loaded successfully
23:31:58 eTH EURAUD,Daily inputs: s1====== MAIN =====; Step=20; TP=50; e1=================; TR_S===== TRADING ======================; TR_TwiseLots=20.0; TR_MN=0; TR_E====================================; 
23:31:58 eTH EURAUD,Daily: initialized
23:32:03 eTH EURAUD,Daily: open #53237954 buy 0.10 EURAUD at 1.5285 ok
23:32:18 eTH EURAUD,Daily: uninit reason 1
23:32:18 Expert eTH EURAUD,Daily: removed
23:37:10 Expert eTH EURAUD,Daily: loaded successfully
23:37:12 eTH EURAUD,Daily inputs: s1====== MAIN =====; Step=20; TP=50; e1=================; TR_S===== TRADING ======================; TR_TwiseLots=20.0; TR_MN=0; TR_E====================================; 
23:37:12 eTH EURAUD,Daily: initialized
23:37:17 eTH EURAUD,Daily: open #53237964 buy 0.10 EURAUD at 1.5283 ok
23:37:23 eTH EURAUD,Daily: uninit reason 1
23:37:23 Expert eTH EURAUD,Daily: removed
